,image_name,frame,フレーム数,diopter,Unnamed: 0,filename,param1,param1_value,param2,param2_value,param3,param3_value,status,times,figure,contrast,gamma,sharpness,brightness,equalization,folder_name,file_name,digit_brightness,non_digit_brightness,brightness_ratio,max_brightness,mode_brightness
0,1_E_contrast1.077_sharpness0.8_equalization27.142.jpg,300,209,2.64748235802509,0,pictures\transformed\roomDark_figureBright\E.JPG,contrast,1.076904420788259,sharpness,0.8003707256008417,equalization,27.141835260326,1,1,E,1.076904420788259,0.0,0.8003707256008417,0.0,27,114,11,219.0989178125919,36.70694657217779,5.968867973852639,245,0.04081632653061224
4,6_0_contrast1.077_sharpness0.834_equalization31.292.jpg,1800,1957,4.106067007372426,5,pictures\transformed\roomDark_figureBright\0.JPG,contrast,1.076538651767049,sharpness,0.8344313140646092,equalization,31.29239882084842,2,6,0,1.076538651767049,0.0,0.8344313140646092,0.0,31,114,4,207.7809435074785,50.51394570330621,4.113338220060661,245,0.2530612244897959
9,12_9_contrast1.152_sharpness0.984_equalization24.321.jpg,3600,3855,2.047057181322149,11,pictures\transformed\roomDark_figureBright\9.JPG,contrast,1.151773928786179,sharpness,0.984358739542066,equalization,24.32082501859839,0,12,9,1.151773928786179,0.0,0.984358739542066,0.0,24,113,4,216.3342522742401,50.44597760137815,4.288434134108841,245,0.04081632653061224
10,23_3_contrast1.171_sharpness0.887_equalization27.833.jpg,6900,7137,4.357602679191387,22,pictures\transformed\roomDark_figureBright\3.JPG,contrast,1.170517614286525,sharpness,0.8865448161112384,equalization,27.8334898777439,0,23,3,1.170517614286525,0.0,0.8865448161112384,0.0,27,112,6,235.0916384726921,36.99640463040593,6.354445541972456,245,0.04081632653061224
11,23_0_contrast1.084_sharpness0.73_equalization27.23.jpg,6900,7114,3.168109111778584,22,pictures\transformed\roomDark_figureBright\0.JPG,contrast,1.083591440790871,sharpness,0.7299520381355035,equalization,27.22976741534383,2,23,0,1.083591440790871,0.0,0.7299520381355035,0.0,27,110,8,210.773273739597,50.04544026383667,4.211637916030161,245,0.273469387755102
12,32_B_contrast1.195_sharpness0.827_equalization25.546.jpg,9600,9762,7.102122717943267,31,pictures\transformed\roomDark_figureBright\B.JPG,contrast,1.195468569609383,sharpness,0.8273077547365086,equalization,25.5460096389291,1,32,B,1.195468569609383,0.0,0.8273077547365086,0.0,25,108,9,217.2454426610502,50.90358947289043,4.267782388445277,245,0.04081632653061224
13,23_0_contrast1.09_sharpness0.66_equalization30.813.jpg,6900,7060,3.169159832656508,22,pictures\transformed\roomDark_figureBright\0.JPG,contrast,1.090273946540207,sharpness,0.6601247222547947,equalization,30.81343807230372,0,23,0,1.090273946540207,0.0,0.6601247222547947,0.0,30,107,18,209.5217782698912,49.666864479412,4.218542492384285,245,0.2653061224489796
22,24_S_contrast0.85_sharpness0.878_equalization28.722.jpg,7200,7398,2.378962774251217,23,pictures\transformed\roomDark_figureBright\S.JPG,contrast,0.8503801598445936,sharpness,0.877688377555264,equalization,28.72242708418748,1,24,S,0.8503801598445936,0.0,0.877688377555264,0.0,28,113,2,193.2914867943034,34.70068597332325,5.570249733474999,244,0.04098360655737705
23,23_2_contrast0.843_sharpness0.769_equalization30.484.jpg,6900,7167,2.003256799590603,22,pictures\transformed\roomDark_figureBright\2.JPG,contrast,0.8429799671108495,sharpness,0.7694127919402987,equalization,30.48386593040344,2,23,2,0.8429799671108495,0.0,0.7694127919402987,0.0,30,110,6,184.2854195166439,39.33458265064628,4.685073721345713,244,0.04098360655737705
24,1_3_contrast0.907_sharpness0.691_equalization27.846.jpg,300,191,6.632165304629232,0,pictures\transformed\roomDark_figureBright\3.JPG,contrast,0.9072660333021332,sharpness,0.6905125537211598,equalization,27.84621958385803,0,1,3,0.9072660333021332,0.0,0.6905125537211598,0.0,27,108,8,211.4823827936201,29.20448105315793,7.241436079918022,241,0.04149377593360996
25,34_9_contrast0.865_sharpness0.785_equalization22.053.jpg,10200,10359,3.926185934153856,33,pictures\transformed\roomDark_figureBright\9.JPG,contrast,0.8646630963380204,sharpness,0.7853312250771147,equalization,22.05301618909256,0,34,9,0.8646630963380204,0.0,0.7853312250771147,0.0,22,107,12,190.8243731972487,39.52532670190443,4.827901224863356,241,0.04149377593360996
26,42_P_contrast0.805_sharpness0.925_equalization30.182.jpg,12600,10556,1.695890988320145,41,pictures\transformed\roomDark_figureBright\P.JPG,contrast,0.8052216666061668,sharpness,0.9247153467988608,equalization,30.1817177878421,2,42,P,0.8052216666061668,0.0,0.9247153467988608,0.0,30,107,8,178.5124649431314,40.59412739015846,4.397494820554007,244,0.2172131147540984
27,34_I_contrast1.089_gamma1.026_sharpness0.375.jpg,10200,10401,2.509200381195068,33,pictures\transformed\roomDark_figureBright\I.JPG,contrast,1.088818202618689,gamma,1.02573229729647,sharpness,0.3751345087123331,1,34,I,1.088818202618689,1.02573229729647,0.3751345087123331,0.0,0,114,10,202.0746257160063,17.43516991937193,11.59005771956857,245,0.04081632653061224
31,37_B_contrast1.156_gamma1.004_sharpness0.351.jpg,11100,11256,4.14325105228434,36,pictures\transformed\roomDark_figureBright\B.JPG,contrast,1.15627450308612,gamma,1.004402899993108,sharpness,0.3512745005253424,2,37,B,1.15627450308612,1.004402899993108,0.3512745005253424,0.0,0,114,3,211.7648911115031,20.32220567991936,10.42036944448165,245,0.04081632653061224
36,2_C_contrast1.136_gamma0.943_sharpness0.539.jpg,600,784,2.763560711655465,1,pictures\transformed\roomDark_figureBright\C.JPG,contrast,1.136227357905119,gamma,0.9433224476097658,sharpness,0.5390502947298307,1,2,C,1.136227357905119,0.9433224476097658,0.5390502947298307,0.0,0,113,4,209.468006188932,20.08221582489301,10.43052260843073,245,0.04081632653061224
37,5_B_contrast1.084_gamma1.091_sharpness0.463.jpg,1500,1713,3.794436602223088,4,pictures\transformed\roomDark_figureBright\B.JPG,contrast,1.083729537605512,gamma,1.091289694536016,sharpness,0.4625485938488652,1,5,B,1.083729537605512,1.091289694536016,0.4625485938488652,0.0,0,112,6,205.6541246900387,16.10639776834668,12.76847422048668,245,0.04081632653061224
42,18_P_contrast1.14_gamma0.996_sharpness0.389.jpg,5400,5611,2.984205394465167,17,pictures\transformed\roomDark_figureBright\P.JPG,contrast,1.14000491476056,gamma,0.995548418520194,sharpness,0.3887047971867481,1,18,P,1.14000491476056,0.995548418520194,0.3887047971867481,0.0,0,110,8,201.6885996819169,22.23850290624604,9.069342506202135,245,0.1306122448979592
43,15_P_contrast1.068_gamma1.075_sharpness0.632.jpg,4500,4624,4.4193383333789,14,pictures\transformed\roomDark_figureBright\P.JPG,contrast,1.067556320525799,gamma,1.075355387949562,sharpness,0.6316613016490782,2,15,P,1.067556320525799,1.075355387949562,0.6316613016490782,0.0,0,109,18,193.0052227835781,17.55637094767009,10.99345778001985,245,0.08979591836734693
48,10_I_contrast1.096_gamma1.04_sharpness0.374.jpg,3000,3129,6.208023725146975,9,pictures\transformed\roomDark_figureBright\I.JPG,contrast,1.095638726145645,gamma,1.039881831923902,sharpness,0.3741353511069851,1,10,I,1.095638726145645,1.039881831923902,0.3741353511069851,0.0,0,108,9,202.0874963236839,17.01361880687697,11.87798425588325,245,0.09795918367346938
49,36_8_gamma0.98_sharpness0.84_equalization19.307.jpg,10800,10942,4.098104415163763,35,pictures\transformed\roomDark_figureBright\8.JPG,gamma,0.9797532641160646,sharpness,0.8395650586176782,equalization,19.30741766887216,2,36,8,0.0,0.9797532641160646,0.8395650586176782,0.0,19,114,7,213.2709414206207,43.62851238165707,4.888338606527577,245,0.04081632653061224
50,8_T_gamma0.989_sharpness0.683_equalization13.055.jpg,2400,2588,2.206627160188094,7,pictures\transformed\roomDark_figureBright\T.JPG,gamma,0.989320239846603,sharpness,0.6828594671227264,equalization,13.05481527034551,2,8,T,0.0,0.989320239846603,0.6828594671227264,0.0,13,113,9,209.82261714293,44.24099747480364,4.742718951181633,245,0.04081632653061224
51,46_0_gamma1.043_sharpness0.825_equalization14.169.jpg,13800,13975,2.266458707001032,45,pictures\transformed\roomDark_figureBright\0.JPG,gamma,1.043049536236216,sharpness,0.8250959320820531,equalization,14.16882633261924,0,46,0,0.0,1.043049536236216,0.8250959320820531,0.0,14,113,8,216.245194017221,45.01003940159406,4.804376909955837,245,0.2408163265306122
52,13_B_gamma1.021_sharpness0.76_equalization15.701.jpg,3900,4065,4.736278034213969,12,pictures\transformed\roomDark_figureBright\B.JPG,gamma,1.021158695120872,sharpness,0.7600231530935834,equalization,15.70138100377385,1,13,B,0.0,1.021158695120872,0.7600231530935834,0.0,15,109,14,214.6130386063932,42.94743843664221,4.997109173880045,245,0.04081632653061224
53,15_S_gamma0.911_sharpness0.751_equalization19.627.jpg,4500,4687,2.873712925525905,14,pictures\transformed\roomDark_figureBright\S.JPG,gamma,0.9108618547805144,sharpness,0.7511354773181077,equalization,19.62654756450122,2,15,S,0.0,0.9108618547805144,0.7511354773181077,0.0,19,107,15,220.135180130476,46.37520091976657,4.746829679753419,245,0.04081632653061224
54,28_0_gamma1.058_sharpness0.813_equalization15.413.jpg,8400,8556,1.792240091259515,27,pictures\transformed\roomDark_figureBright\0.JPG,gamma,1.057566323383919,sharpness,0.8134054985199488,equalization,15.41265205453926,0,28,0,0.0,1.057566323383919,0.8134054985199488,0.0,15,106,14,209.3006287949372,43.82923902855942,4.775365336791624,245,0.04081632653061224
55,12_8_gamma1.096_sharpness0.908_equalization30.178.jpg,3600,3773,2.722038779539957,11,pictures\transformed\roomDark_figureBright\8.JPG,gamma,1.0960102736183,sharpness,0.9081433215430535,equalization,30.17847769200895,0,12,8,0.0,1.0960102736183,0.9081433215430535,0.0,30,114,12,210.6496497971889,35.9161664321541,5.865037132933095,245,0.04081632653061224
56,23_C_gamma1.024_sharpness0.693_equalization26.97.jpg,6900,7100,2.928475265304904,22,pictures\transformed\roomDark_figureBright\C.JPG,gamma,1.024236195880719,sharpness,0.6934468135747256,equalization,26.96958444308998,1,23,C,0.0,1.024236195880719,0.6934468135747256,0.0,26,110,17,208.4513893304508,37.60534039314181,5.543132628270709,245,0.04081632653061224
57,30_2_gamma1.006_sharpness0.933_equalization22.426.jpg,9000,9207,4.79749874935179,29,pictures\transformed\roomDark_figureBright\2.JPG,gamma,1.006079358980467,sharpness,0.9330890890871804,equalization,22.4257034613882,0,30,2,0.0,1.006079358980467,0.9330890890871804,0.0,22,110,13,205.9514534883721,44.49347588218338,4.628801176013351,245,0.04081632653061224
58,38_C_gamma0.917_sharpness0.996_equalization25.704.jpg,11400,11540,4.336590867997705,37,pictures\transformed\roomDark_figureBright\C.JPG,gamma,0.9174047427193666,sharpness,0.9962038564950588,equalization,25.70385841637317,1,38,C,0.0,0.9174047427193666,0.9962038564950588,0.0,25,109,17,210.1912634323139,48.63568681390606,4.321749669878526,245,0.04081632653061224
59,21_7_gamma0.949_sharpness0.881_equalization31.893.jpg,6300,6470,4.015961454121698,20,pictures\transformed\roomDark_figureBright\7.JPG,gamma,0.9486703190295228,sharpness,0.8805006882755512,equalization,31.89290914180278,0,21,7,0.0,0.9486703190295228,0.8805006882755512,0.0,31,107,18,208.9381385427192,44.42351833723058,4.703322617461656,245,0.04081632653061224
60,22_8_gamma0.92_sharpness0.835_equalization27.301.jpg,6600,6743,1.963574211280485,21,pictures\transformed\roomDark_figureBright\8.JPG,gamma,0.9197633381295768,sharpness,0.8350311424844974,equalization,27.30093979333694,0,22,8,0.0,0.9197633381295768,0.8350311424844974,0.0,27,106,19,214.6076077728516,49.01907843763077,4.378042480866031,245,0.04081632653061224
